NAME,ISIN,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANSELL,AU000000ANN9,1940.3,1186.99,689.23,514.38,796.28,911.12,1148.35,1271.52,1266.5,1397.58,865.76,1166.04,1827.38,2111.12,2274.96,2618.92,2757.11,1625.23,2453.33,2803.57,2291.52,2826.82,3714.83,2346.67,2478.28,2023.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANZ GROUP HOLDINGS,AU000000ANZ3,10610.2,10478.28,12093.93,13545.01,14731.66,24504.02,29304.11,33930.77,42842.63,42910.82,17766.18,45780.85,63898.72,61848.55,77833.13,72347.48,75366.87,49802.77,64597.35,63960.81,54549.67,49379.25,55113.13,53247.87,53296.08,53845.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APA GROUP,AU000000APA1,,,329.15,316.72,375.12,519.08,815.38,855.99,1457.43,1331.65,944.39,1412.43,2285.64,3254.54,4914.35,4549.03,7447.07,6940.5,7116.59,7034.11,7892.42,8909.94,8747.02,8364.35,8812.47,6986.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASX,AU000000ASX7,766.49,833.07,706.87,601.92,697.36,1298.32,1688.78,2633.81,5218.31,6921.67,2772.72,5219.61,6544.53,5735.35,6453.04,6020.91,6002.07,5500.92,7375.55,8277.9,9247.85,11067.4,10630.53,11607.59,9448.11,8254.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BENDIGO & ADELAIDE BANK,AU000000BEN6,222.43,213.02,272.78,487.89,558.77,865.95,1043.68,1253.66,1479.8,2785.66,1847.84,2953.19,3584.25,3373.25,3942.59,4147.74,4893.74,3314.43,4398.1,4232.31,3925.84,3335.99,4040.48,3544.58,3908.83,3618.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BHP GROUP,AU000000BHP4,15907.03,21137.25,18545.09,21867.19,20483.88,32939.15,47163.68,68401.48,76832.33,110766.86,72395.09,114783.01,158637.53,131556.71,124696.1,103766.87,79111.5,36867.53,63693.9,75295.76,75113.69,76391.32,98815.83,170752,168194.59,153697.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BORAL DEAD - DELIST.08/07/24,AU000000BLD2,,,686.1,1011.57,1454.76,2396.58,3193,3805.65,3906.67,3118.07,1140.85,2836.59,3575.17,3420.8,3990.32,3457.9,3520.02,2824.23,5158.62,7059.82,3966.75,4038.27,5134.49,3038.44,2685.24,3838.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BANK OF QLND.,AU000000BOQ8,217.96,185.66,205.28,210.91,280.27,676.75,813.72,1187.46,1326.3,1773.5,850.09,1930.98,2288.84,1816.44,2768.33,3188.06,3819.28,3363.16,3340.64,3692.7,3041.75,2285.24,2982.48,3636.26,3253.39,2567.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEACH ENERGY,AU000000BPT9,6.46,15.02,17.3,32.38,34.6,74.79,106.51,413.77,838.84,1112.82,480.92,682.2,954.17,1887.22,1765.75,1636.53,1185.22,410.83,1075.74,2332.17,2931.28,3630.81,3153.61,2476.21,2500.63,2450.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLUESCOPE STEEL,AU000000BSL0,,,,,1592.26,3017.13,5593.6,3886.13,4998.75,6810.63,2037.74,4036.44,4078.01,1429.8,2078.19,2826.13,2375.17,1849.93,4927.86,6361.38,4751.25,4740.62,6470.2,6629.28,6112.73,6731.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
