NAME,ISIN,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
HILLS DEAD - DELIST.29/08/23,AU000000HIL8,,,,,,,,,,,62.59,69.46,72.08,70.83,45.89,65.34,63.25,67.12,66.13,66.12,66.61,64.7,59.38,66.35,
HARVEY NORMAN HOLDINGS,AU000000HVN7,,,,,,53.57,67.61,66.54,52.15,27.49,35.79,32.08,14.19,32.45,44.97,42.65,41.83,47.02,42.17,46.09,45.19,40.97,53.33,42.97,34.51
INSURANCE AUS.GROUP,AU000000IAG3,,,,,,73.89,53.87,54.57,86.14,86.28,85.56,88.27,77.05,71.33,79.9,79.39,82.83,82.58,84.21,82.6,84.26,82.32,80.14,78.59,77.94
INSIGNIA FINANCIAL,AU000000IFL2,,,,,,,,,,,34.91,46.37,50.43,37.77,62.36,66.17,38.88,60.66,63.16,62.46,57.96,57.09,68.25,85.03,82.31
IGO,AU000000IGO4,,,,,,,,,,,61.54,69.82,73.47,73.57,73.36,49.73,73.2,44.76,68.85,77.97,70.01,73.34,73.64,73.27,75.28
ILUKA RESOURCES,AU000000ILU1,,,,,,81.59,75.93,80.17,74.82,66.05,54.44,69.42,70.68,68.68,62.46,82.59,79.41,79.71,88.47,90.46,93.38,93.06,92.9,92.23,83.39
INCITEC PIVOT,AU000000IPL1,,,,,,,,,47.57,24.45,72.5,81.8,80.24,89.84,89.9,95.01,77.7,84.09,62.02,65.94,85.1,91.24,90.37,90.34,75.42
IRESS,AU000000IRE2,,,,,,,,,,,46.07,64.27,36.12,32.95,29.51,37.21,46.93,49.99,54.14,63.33,57.17,60.15,54.17,37.29,60.4
INVOCARE DEAD - DELIST.27/11/23,AU000000IVC8,,,,,,,,,,,41.77,44.87,56.36,63.48,69.68,79.49,81.61,77.97,78.45,79.66,81.74,85.87,74.05,74.11,
JB HI-FI,AU000000JBH7,,,,,,,,,,,28.38,27.58,50.88,36.56,25.53,44.07,27.39,27.66,54.51,59.53,50.11,37.27,43.53,46.57,60.49
JAMES HARDIE INDUSTRIES CDI,AU000000JHX1,,,,,,,76.06,83.54,36.11,29.12,47.58,46.38,54.95,68.98,67.13,40.94,50.87,71.19,69.11,67.01,45.93,48.31,20.48,53.99,22.15
LENDLEASE GROUP STAPLED UNITS,AU000000LLC3,,,,,,23.27,18.31,43.02,48.2,80.81,82.46,89.94,86.63,83.23,83.21,85.17,81.54,75.58,85.22,72.27,83.1,81.57,59.02,60.29,70.06
MACMAHON HOLDINGS,AU000000MAH3,,,,,,,,,,,42.32,68.68,73.25,81.53,63.09,75.41,39.34,25.95,59.19,36.38,38.59,38.8,45.19,75.94,55.21
MIRVAC GROUP STAPLED UNITS,AU000000MGR9,,,,,,39.86,27.28,13.29,44.37,60.44,61.27,85.77,82.65,86.6,88.24,83.34,86.78,89.46,91.27,88.63,90.99,93.82,85.12,82.84,65.82
MOUNT GIBSON IRON,AU000000MGX7,,,,,,,,,,,34.3,52.92,55.33,55.22,64.74,70.34,68.47,69.98,65.15,66.53,74.55,55.16,44.61,45.58,58.84
MONADELPHOUS GROUP,AU000000MND5,,,,,,,,,,,27.53,31.15,24.15,22.8,15.92,32.34,45.49,30.98,30.89,36.53,47.39,36.4,36.41,36.65,20.6
MACQUARIE GROUP,AU000000MQG1,,,,,,,15.1,18.41,5.4,40.04,52.29,63.23,76.67,65.73,61.46,78.11,85.77,84.41,84.97,84.79,85.49,83.38,87.08,89.53,80.41
METCASH,AU000000MTS0,,,,,,,,,12.84,20.58,31.68,48.68,35.08,62.34,58.7,73.53,70.83,76.86,77.64,79.7,77.54,73.84,72.09,57.56,80.66
NATIONAL AUS.BANK,AU000000NAB4,,,,63.81,32.86,53.66,68.6,72.14,68.77,75.43,81.02,93.63,94.3,83.13,82.19,78.51,90.92,89.21,84.15,83.35,70.03,79.28,88.63,81.46,91.76
NEWCREST MINING DEAD - DELIST.08/11/23,AU000000NCM7,,,,,,85.13,51.15,47.32,29.31,43.31,67.11,53.96,71.98,62.8,74.46,56.82,61.83,88.29,79.36,78.42,58.3,73.29,76.69,82.49,
ORIGIN ENERGY (EX BORAL),AU000000ORG5,,,,,,41,36.17,57.33,67.49,71.71,68.07,80.39,64.48,82.43,79.54,85.96,88.58,82.73,79.54,77.33,83.7,91.01,84.01,80.97,81.27
ORICA,AU000000ORI1,,,,39.52,30.95,60.63,81.28,83.86,62.86,63.8,70.28,62.25,51.88,61.03,64.32,64.48,38.92,37.36,43.35,58.58,52.05,52.55,66.77,77.91,76.95
OZ MINERALS DEAD - DELIST.03/05/23,AU000000OZL8,,,,,,,,,,40.95,44.83,96.49,93.97,96.39,88.84,75.77,82.42,83.64,79.76,72.72,71.65,67.07,75.76,77.34,
PERPETUAL,AU000000PPT9,,,,,,56.76,43.5,44.19,59.12,55.85,55.71,77.3,62.3,68.14,67.48,61.78,73.03,64.65,58.14,70.04,73.47,69.15,79.71,79.7,82.64
QANTAS AIRWAYS,AU000000QAN2,,,,,,37.34,60.78,53.02,61.68,57.15,56.99,78.99,87.99,87.02,91.55,92,82.09,84.17,75.39,79.99,86.1,90.72,85.85,81.77,81.48
QBE INSURANCE GROUP,AU000000QBE9,,,,,,54.54,52.22,54.51,50,61.25,59.94,65.94,73.45,71.06,71.12,64.08,75.91,75.1,68.14,85.9,79.59,69.86,89.68,87.65,90.81
RAMSAY HEALTH CARE,AU000000RHC8,,,,,,,,,,,52.33,64.85,66.85,75.98,81.3,77.95,77.51,76.43,75.92,69.09,74.04,76.17,87.72,81.22,84.95
ST BARBARA,AU000000SBM8,,,,,,,,,,,48.3,58.3,68.72,57.03,64.12,64.06,51.51,36.54,67.44,70.32,60.12,77.42,49.89,53.14,
SUNLAND GROUP DEAD - DELIST.30/10/23,AU000000SDG6,,,,,,,,,,,,36.56,29.27,22.68,17.14,32.73,26.62,32.36,41.42,51.55,33.87,39.69,45.47,52.73,
SEEK,AU000000SEK6,,,,,,,,,,,26.24,46.63,41.32,48.05,45.6,38.94,41.77,58.77,58.73,54.25,61.41,53.92,54.84,58.98,62.84
SIMS,AU000000SGM7,,,,,,,,,27.34,44.31,74.19,69.3,77.12,83.11,90.88,84.59,93.99,93.38,87.85,82.42,91.95,90.28,92.89,93.22,90.37
STOCKLAND STAPLED UNITS,AU000000SGP0,,,,,,28.45,40.12,60.74,52.34,71.99,63.73,82.56,79.84,87.52,74.4,67.5,57,72.95,65.68,79.18,70.31,72.42,80.44,74.13,64.28
SONIC HEALTHCARE,AU000000SHL7,,,,,,33.86,27.7,22.4,35.52,18.82,37.55,49.18,56.28,56.32,66.66,55.14,69.31,73.52,63.08,61.39,54.47,60.25,63.07,58.6,57.39
SIGMA HEALTHCARE,AU000000SIG5,,,,,,,,,,,61.06,59.42,48.97,70.02,67.86,64.2,75.67,62.36,57.85,66.82,76.48,65.16,69.32,39.36,46.7
SANTOS,AU000000STO6,,,,,,48.73,45.47,39.03,73.44,75.43,64.69,80.63,75.26,81.51,82.7,64.07,63.78,38.05,28.13,15.06,45.55,39.04,48.92,53.68,65.64
SUNCORP GROUP,AU000000SUN6,,,,,,61.59,59.05,58.01,43.27,38.01,60.93,63.35,83.13,52.74,75.71,85.08,84.9,82.2,77.48,80.3,87.02,85.04,86.05,75.33,83.37
SEVEN WEST MEDIA,AU000000SWM4,,,,,,,,,,,29.19,28.56,29.22,33.13,53.5,41.74,33.03,34.5,43.06,27.13,39.92,34.5,36.83,38.1,38.77
SOUTHERN CROSS MEDIA GROUP,AU000000SXL4,,,,,,,,,,,8.95,9.94,35.57,38.21,61.63,45.52,50.77,50.36,50.76,52.89,38.78,41.76,42.88,76.23,64.69
TABCORP HOLDINGS,AU000000TAH8,,,,,,42.95,52.63,62.15,60.88,51.43,48.68,48.42,29.31,35.96,46.98,71.86,57.67,51.33,51.97,51.03,49.38,46.91,40.58,16.26,25.26
TRANSURBAN GROUP STAPLED UNITS,AU000000TCL6,,,,,,29.23,23.66,57.54,54.67,45.46,73.69,69.94,78.79,66.08,58.53,84.54,75.18,89.77,81.17,81.61,87.42,90.4,86.19,81.65,84.54
TELSTRA GROUP,AU000000TLS2,,,,,,81.5,68.85,64.34,81.96,77.31,72.38,88.87,70.77,73.05,82.69,74.63,58.23,53,71.92,79.04,86.75,82.4,82.26,81.58,62.86
WESTPAC BANKING,AU000000WBC1,,,,23.57,57.86,61.33,81.44,86,82.05,87.98,90.07,85.89,86.1,80.9,82.73,90.08,88.38,85.37,79.95,78.12,77.04,73.42,70.77,75.06,74.61
WESFARMERS,AU000000WES1,,,,,,,36.91,43.69,53.97,47.72,61.68,74.08,64.51,61.9,53.58,72.5,65.16,60.48,77.44,66.31,80.42,84.83,83.44,82.55,81.14
WORLEY,AU000000WOR2,,,,,,47,70.25,74.43,72.68,59.53,70.24,69.54,60.6,63.44,70.18,77.92,55.9,49.67,59.6,77.94,74.47,47.78,75.37,91.47,86.16
WOOLWORTHS GROUP,AU000000WOW2,,,,,,,76.01,74.59,84.72,96.29,99.14,98.54,94.1,93.91,94.7,80.31,59.66,66.63,84.07,93.5,94.04,88.54,48.3,83.29,85.15
A2B AUSTRALIA DEAD - DELIST.12/04/24,AU0000032187,,,,,,,,,,,32,39.08,31.28,48.08,35.47,44.67,37.95,45.59,43.24,41.35,33.9,41.84,24.08,4.07,8.14
HEALIUS,AU0000033359,,,,,,,,,,,48.04,33.2,51.56,51.03,58.78,62.34,45.18,81.32,78.7,80.46,88.03,84.18,32.83,50.19,56.68
OVATO DEAD - DELIST.29/08/22,AU0000038911,,,,,,,,,,,,72.35,72.76,53.43,45.94,50.7,40.94,53.41,40.44,37.64,40.54,25.43,34.11,,
AMPOL,AU0000088338,,,,,,31.74,52.96,48.25,34.95,62.96,75.2,58.08,51.48,57.51,67.47,64.43,65.6,60.42,60.16,85.03,83.03,77.09,82.47,85.17,
WOODSIDE ENERGY GROUP,AU0000224040,,,,,,70.46,50.91,42.07,76.36,75.43,67.59,76.82,81.15,66.93,83.56,76.08,79.23,81.12,85.05,90.71,90.36,75.58,65.6,78.47,
SOLVAY,BE0003470755,,,,44.22,47.67,70.78,65.45,36.46,59.08,74.27,51.23,68.82,47.28,56.65,84.01,71.6,78.53,70.73,33.21,50.51,63.22,82.32,88.48,88.69,87.07
KBC GROUP,BE0003565737,,,,49.11,40.22,30.04,35.67,30.91,48.69,29.32,32.67,30.88,32.96,40.42,43.28,53.5,35.12,35.25,37.29,35.08,39.17,34.27,29.93,26.23,28.51
COFINIMMO,BE0003593044,,,,66,66,72.04,38.99,47.1,52.08,53.21,55.43,50.32,45.88,66.88,77.88,59.12,66.55,80.94,74.16,79.62,82.15,89.24,86.45,91.4,
SOFINA,BE0003717312,,,,,,,,,14.03,23.46,18.64,23.45,12.95,13.95,21.6,35.12,16.31,5.36,6.77,9.32,7.74,11.25,21.78,31.65,23.37
ORANGE BELGIUM,BE0003735496,,,,14,14.44,32.78,44.2,39.57,49.31,43.46,60.86,74.13,61.3,70.73,74.63,71.55,60.6,33.76,72.8,75.58,74.49,75.01,67.46,66.39,68.2
UCB,BE0003739530,,,,,,,21.59,12.32,21.25,59.1,48.02,84.14,79.32,81.63,88.69,86.5,89.48,86.53,82.16,78.6,77.95,78.42,75.81,94.83,82.74
AGFA-GEVAERT,BE0003755692,,,,70.22,70.56,53.37,72.57,37.2,44.92,74.19,76.27,66.11,52.54,39.91,24.7,31.93,57.9,52.74,47.95,74.75,54.29,27.82,47.75,59.52,67.87
GBL NEW,BE0003797140,,,,34.44,65.11,55.37,41.01,21.59,25.42,16.28,9.75,22.5,23.46,14.44,54.44,46.31,33.69,17.98,22.42,40.46,76.55,76.32,63.62,74.5,64.1
PROXIMUS,BE0003810273,,,,19.78,39.78,30.19,28.26,59.86,50.36,62.61,62.35,56.05,50.6,52.49,29.43,19.12,48.06,66.07,51.41,41.32,53.17,68.8,29.36,41.55,39.82
ELIA GROUP,BE0003822393,,,,,,,,,,20.47,19.33,38,31.9,32.44,19.79,20.98,17.42,24.12,25.28,44.81,52.05,38.22,28.27,42.11,33.81
COLRUYT GROUP,BE0974256852,,,,6.89,4.22,2.41,2.75,7.1,6.81,4.74,10.49,9.4,6.57,6.64,7.49,8.64,8.29,13.73,14.97,32,30.08,29.34,28.97,15.16,17.89
BEKAERT (D),BE0974258874,,,,46,16.67,22.41,25.65,25.36,25.97,26.11,24.77,33.98,73.18,58.37,41.51,37.31,26.79,29.21,31.44,28.14,57.26,57.01,71.13,73.98,67.88
AGEAS (EX-FORTIS),BE0974264930,,,,,,,80.93,67.6,88.08,71.97,70.44,76.9,77.05,66.3,60.62,73.93,73.69,52.5,70.43,82.38,89.72,89.6,94.41,88.42,89.31
VIOHALCO,BE0974271034,,,,,,,,,,,,,,,,,,,,,,,25.65,24.09,24.9
ANHEUSER-BUSCH INBEV,BE0974293251,,,,81.11,78,83.81,80.48,61.76,63.25,39.49,78.59,78.98,69.36,69.67,67.3,65.45,53.85,54.04,74.39,85.6,93.53,87.7,86.99,86.59,
UMICORE,BE0974320526,,,,,,,72.03,62.59,66.19,76.2,66.54,39.18,65.67,51.15,51.38,75.55,54.17,47.61,31.15,56.22,47.86,45.09,60.8,74.73,59.69
TITAN CEMENT,BE0974338700,,,,,,,,,,,,,,,,,,,,44.43,68.91,71.46,75.15,65.16,61.79
ARCH CAP.GP.,BMG0450A1053,,,,,,,,,,59.43,56.2,41.87,39.76,24.63,38.33,27.06,35.96,31.69,48.5,55.41,58.79,57.66,61.22,63.98,66.81
