0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
2566.698,1909.875,1524.13,1494.381,1673.474,1649.227,198.026,228.296,242.168,72.504,79.714,239.384,60.893,66.479,67.025,443.693,273.09,172.639,0.0,190.502,314.733,249.159,14.544,157.46,78.566,329.007,306.433,354.171,360.62,354.03,136.88,144.256,76.31,112.624,164.155,142.052,372.827,314.086,290.731,483.662,1259.433,886.662,886.662,9233.176,9841.497,8323.462,6447.947,6491.028,8947.407,9004.244,9699.396,8978.106
2491.306,1869.418,1443.217,1467.845,1650.098,1623.929,387.895,417.989,430.575,256.814,245.805,422.773,138.996,142.453,141.574,253.202,83.164,20.434,190.502,0.0,125.077,59.98,198.702,120.611,123.368,508.493,492.752,535.335,541.533,535.182,120.132,115.125,210.657,198.064,107.249,93.272,545.235,497.342,139.897,325.041,1108.665,1064.542,1064.542,9075.674,9696.669,8393.945,6587.408,6637.815,9055.593,9112.681,9782.866,9065.493
2431.084,1834.359,1384.086,1444.817,1627.683,1600.437,512.576,542.745,555.579,381.879,370.321,547.706,263.99,266.967,266.089,131.41,51.288,142.098,314.733,125.077,0.0,73.276,322.063,208.296,243.069,632.819,617.818,659.865,666.015,659.71,232.482,225.385,333.841,315.847,210.051,207.229,668.108,622.184,144.934,263.977,1031.16,1187.746,1187.746,8963.063,9590.632,8423.257,6666.336,6722.188,9110.97,9168.217,9820.566,9106.203
2484.056,1874.862,1436.085,1478.822,1661.513,1634.814,445.558,475.475,487.311,313.418,299.652,477.594,194.924,196.754,195.884,195.221,24.236,79.978,249.159,59.98,73.276,0.0,257.941,170.155,183.334,561.515,548.366,588.807,594.887,588.65,159.206,152.133,262.062,242.682,137.223,134.052,595.725,551.739,105.004,273.657,1055.447,1115.383,1115.383,9035.683,9661.767,8429.071,6640.034,6692.011,9100.59,9157.736,9821.344,9105.098
2558.958,1900.083,1517.108,1483.972,1662.824,1638.688,192.1,222.452,237.304,72.797,86.146,236.909,73.793,80.212,80.711,451.779,281.681,180.223,14.544,198.702,322.063,257.941,0.0,156.456,81.879,327.301,302.444,351.876,358.377,351.739,150.737,157.971,88.361,126.434,177.608,154.885,372.674,311.269,302.961,496.22,1272.883,884.386,884.386,9232.77,9839.492,8309.189,6433.844,6477.159,8932.871,8989.709,9684.95,8963.626
2425.704,1784.603,1379.948,1376.06,1557.291,1531.898,341.395,371.341,388.478,229.017,235.353,392.103,143.98,154.73,154.145,337.628,187.196,103.008,157.46,120.611,208.296,170.155,156.456,0.0,83.842,483.016,454.934,506.93,513.48,506.798,185.958,186.49,217.23,230.281,192.102,166.18,529.119,465.749,260.469,443.23,1225.603,1038.879,1038.879,9076.316,9684.078,8276.236,6469.885,6522.065,8934.984,8992.072,9663.568,8945.799
2507.302,1860.894,1462.271,1449.504,1629.993,1605.041,273.846,304.199,319.182,151.001,152.993,317.842,62.577,74.091,73.661,373.929,206.138,103.488,78.566,123.368,243.069,183.334,81.879,83.842,0.0,407.572,384.197,432.69,439.148,432.549,123.555,127.231,133.41,149.465,140.379,112.997,450.996,392.465,245.712,438.75,1221.356,965.206,965.206,9155.727,9765.971,8319.484,6477.909,6525.198,8961.117,9018.082,9701.404,8981.862
2825.316,2134.006,1797.345,1708.758,1880.197,1858.842,153.372,130.38,108.314,256.666,262.697,91.269,369.995,366.047,366.925,754.758,585.608,493.775,329.007,508.493,632.819,561.515,327.301,483.016,407.572,0.0,55.871,28.506,33.864,28.335,408.981,417.323,299.534,325.97,437.319,430.368,58.215,29.209,565.293,735.601,1453.935,557.828,557.828,9557.611,10157.932,8343.83,6328.854,6353.934,8892.66,8948.871,9692.544,8965.046
2774.965,2080.877,1749.562,1655.275,1826.155,1804.97,114.739,86.698,66.935,236.217,249.442,72.271,353.875,351.618,352.486,743.261,572.6,476.585,306.433,492.752,617.818,548.366,302.444,454.934,384.197,55.871,0.0,62.365,68.448,62.312,402.138,410.685,289.665,322.421,431.492,421.177,112.799,26.855,562.497,740.18,1474.01,584.497,584.497,9523.322,10118.97,8292.938,6292.035,6319.705,8848.417,8904.7,9643.867,8916.825
2837.315,2142.505,1811.743,1716.705,1887.137,1866.103,172.159,146.455,125.106,282.109,289.565,114.97,396.611,392.949,393.827,782.358,612.934,520.345,354.171,535.335,659.865,588.807,351.876,506.93,432.69,28.506,62.365,0.0,6.605,0.173,436.93,445.298,326.994,354.127,465.382,458.084,57.122,42.131,593.625,764.095,1480.878,532.545,532.545,9579.864,10178.08,8331.734,6307.212,6331.217,8874.96,8931.122,9678.215,8950.327
2843.286,2148.062,1817.961,1722.195,1892.486,1871.497,178.734,152.935,131.635,288.521,295.742,121.481,402.852,399.126,400.005,788.335,619.004,526.6,360.62,541.533,666.015,594.887,358.377,513.48,439.148,33.864,68.448,6.605,0.0,6.722,442.744,451.098,333.01,359.811,471.13,464.009,54.405,48.721,599.154,769.077,1484.349,526.07,526.07,9586.469,10184.655,8333.384,6306.088,6329.704,8875.094,8931.242,9679.29,8951.299
2837.265,2142.478,1811.678,1716.681,1887.119,1866.083,172.056,146.367,125.011,281.965,289.411,114.834,396.459,392.795,393.673,782.199,612.777,520.194,354.03,535.182,659.71,588.65,351.739,506.798,432.549,28.335,62.312,0.173,6.722,0.0,436.767,445.135,326.836,353.962,465.218,457.924,57.061,42.026,593.457,763.923,1480.708,532.684,532.684,9579.747,10177.977,8331.83,6307.358,6331.369,8875.086,8931.249,9678.323,8950.437
2602.355,1969.19,1554.858,1561.837,1743.174,1717.717,309.823,337.986,346.076,178.339,154.67,330.005,78.32,70.535,70.06,347.008,182.103,115.885,136.88,120.132,232.482,159.206,150.737,185.958,123.555,408.981,402.138,436.93,442.744,436.767,0.0,8.598,112.914,84.379,29.912,26.859,439.466,402.16,162.365,351.021,1122.91,958.624,958.624,9193.468,9816.327,8442.532,6584.423,6627.885,9078.566,9135.468,9823.267,9103.231
2600.09,1968.548,1552.446,1561.838,1743.297,1717.759,318.392,346.575,354.674,186.816,163.268,338.54,84.989,77.789,77.268,338.981,174.797,112.164,144.256,115.125,225.385,152.133,157.971,186.49,127.231,417.323,410.685,445.298,451.098,445.135,8.598,0.0,121.507,92.334,21.362,22.68,447.509,410.626,153.793,342.723,1115.287,966.549,966.549,9187.02,9810.532,8446.662,6591.362,6635.106,9084.272,9141.185,9827.951,9108.076
2638.204,1984.948,1594.191,1570.131,1749.414,1725.083,198.15,225.662,233.208,71.77,42.292,217.742,77.3,69.952,70.796,455.401,286.113,197.766,76.31,210.657,333.841,262.062,88.361,217.23,133.41,299.534,289.665,326.994,333.01,326.836,112.914,121.507,0.0,46.067,142.639,131.644,334.6,290.817,274.866,460.164,1222.438,854.062,854.062,9280.84,9895.405,8392.12,6496.002,6535.52,9006.824,9063.577,9765.251,9043.126
2655.944,2009.889,1610.192,1597.378,1777.419,1752.714,238.756,264.854,270.186,117.329,85.122,250.171,86.948,75.714,76.25,431.315,265.963,189.053,112.624,198.064,315.847,242.682,126.434,230.281,149.465,325.97,322.421,354.127,359.811,353.962,84.379,92.334,46.067,0.0,111.575,108.63,355.186,320.601,240.281,420.424,1177.982,874.247,874.247,9273.723,9893.284,8434.902,6541.999,6581.29,9052.349,9109.115,9809.237,9087.389
2597.212,1969.798,1549.272,1564.723,1746.46,1720.724,339.734,367.874,375.844,208.163,184.512,359.298,104.029,97.75,97.169,320.364,158.964,108.069,164.155,107.249,210.051,137.223,177.608,192.102,140.379,437.319,431.492,465.382,471.13,465.218,29.912,21.362,142.639,111.575,0.0,27.513,466.526,431.082,132.457,321.592,1095.296,985.119,985.119,9172.906,9798.234,8459.206,6610.057,6654.368,9100.348,9157.284,9841.749,9122.241
2577.49,1946.734,1529.817,1540.563,1722.131,1696.517,325.128,353.976,363.294,192.253,172.043,349.359,81.178,76.853,76.149,324.486,157.409,89.544,142.052,93.272,207.229,134.052,154.885,166.18,112.997,430.368,421.177,458.084,464.009,457.924,26.859,22.68,131.644,108.63,27.513,0.0,462.548,422.393,149.388,341.661,1118.55,982.063,982.063,9167.114,9789.566,8431.694,6585.049,6630.066,9073.471,9130.416,9814.295,9094.836
2882.945,2192.218,1853.994,1766.969,1938.348,1917.02,208.791,187.582,165.436,300.436,301.311,142.865,408.557,403.371,404.244,786.473,619.53,531.788,372.827,545.235,668.108,595.725,372.674,529.119,450.996,58.215,112.799,57.122,54.405,57.061,439.466,447.509,334.6,355.186,466.526,462.548,0.0,86.95,590.405,752.465,1452.221,519.662,519.662,9605.38,10209.075,8387.419,6352.795,6374.654,8926.229,8982.336,9732.547,9004.377
2798.044,2105.583,1771.181,1680.196,1851.432,1830.137,130.042,104.784,83.185,242.47,252.088,74.841,358.379,355.265,356.141,745.994,575.931,481.876,314.086,497.342,622.184,551.739,311.269,465.749,392.465,29.209,26.855,42.131,48.721,42.026,402.16,410.626,290.817,320.601,431.082,422.393,86.95,0.0,560.825,735.147,1461.999,573.243,573.243,9537.9,10135.959,8318.265,6311.392,6337.908,8871.018,8927.271,9668.316,8941.087
2576.012,1975.493,1528.931,1581.869,1764.645,1737.778,472.185,500.309,508.012,340.305,316.89,490.226,229.945,226.235,225.524,211.454,106.483,157.933,290.731,139.897,144.934,105.004,302.961,260.469,245.712,565.293,562.497,593.625,599.154,593.457,162.365,153.793,274.866,240.281,132.457,149.388,590.405,560.825,0.0,193.805,975.65,1105.45,1105.45,9080.369,9716.411,8531.485,6722.664,6770.796,9195.386,9252.465,9921.876,9204.846
2622.611,2061.997,1584.693,1685.73,1868.214,1840.186,658.205,685.062,690.542,528.889,502.426,668.463,422.769,418.246,417.582,214.189,260.219,344.862,483.662,325.041,263.977,273.657,496.22,443.23,438.75,735.601,740.18,764.095,769.077,763.923,351.021,342.723,460.164,420.424,321.592,341.661,752.465,735.147,193.805,0.0,783.772,1254.092,1254.092,9000.627,9655.76,8686.531,6912.435,6962.488,9372.103,9429.297,10084.539,9370.126
3032.62,2615.184,2079.364,2300.314,2474.577,2444.675,1413.731,1436.833,1437.216,1294.043,1263.099,1407.235,1199.165,1192.973,1192.414,928.041,1039.463,1128.581,1259.433,1108.665,1031.16,1055.447,1272.883,1225.603,1221.356,1453.935,1474.01,1480.878,1484.349,1480.708,1122.91,1115.287,1222.438,1177.982,1095.296,1118.55,1452.221,1461.999,975.65,783.772,0.0,1883.566,1883.566,8806.746,9537.642,9382.84,7695.46,7746.216,10129.036,10186.483,10801.451,10095.768
